"Chart data for Banking Deserts, Branch Closings, and Soft Information",,,,
http://libertystreeteconomics.newyorkfed.org/2016/03/banking-deserts-branch-closings-and-soft-information.html,,,,
,,,,
This file contains the latitude and longitude of census tracts in 2014 within “banking deserts” as that term is defined in the post.,,,,
Year,geoid2000,tract_latitude,tract_longitude,banking_desert
2014,4021000500,33.049069,-110.903315,1
2014,4021000601,32.750368,-110.729455,1
2014,4021000700,32.605048,-110.63334,1
2014,4021000800,32.837933,-111.261518,1
2014,4021940400,33.062166,-110.577889,1
2014,4021940600,32.6504,-111.915794,1
2014,4025000100,35.260098,-112.898685,1
2014,4025001200,34.664508,-112.700592,1
2014,4025001300,34.576185,-113.169293,1
2014,4025001400,34.197732,-112.591479,1
2014,4025940400,35.520366,-113.327816,1
2014,4027010500,33.196722,-114.060134,1
2014,4027010600,32.902037,-113.545627,1
2014,5019953700,34.142207,-93.321571,1
2014,5029950200,35.337888,-92.757829,1
2014,5039970100,34.035766,-92.624098,1
2014,5057980200,33.724548,-93.774433,1
2014,5079960100,34.082159,-91.576096,1
2014,5079960200,34.04089,-91.605875,1
2014,5099990100,33.667531,-93.265086,1
2014,5099990300,33.513558,-93.320132,1
2014,5103950200,33.671063,-93.000793,1
2014,5105952900,34.961085,-93.058482,1
2014,5109953400,34.238151,-93.764777,1
2014,5115950700,35.55707,-93.026267,1
2014,5125010507,34.735572,-92.68855,1
2014,5129970100,35.9695,-92.819282,1
2014,5149952600,34.889194,-93.43132,1
2014,6003010000,38.632506,-119.888663,1
2014,6007002400,39.656237,-121.34293,1
2014,6011000400,39.309237,-122.337249,1
2014,6015000203,41.537718,-124.020606,1
2014,6017031402,38.598334,-120.546947,1
2014,6017031403,38.736957,-120.283483,1
2014,6019006402,37.110929,-119.271973,1
2014,6019006403,36.744173,-119.101183,1
2014,6019008302,36.65475,-120.509661,1
2014,6021010300,39.614925,-122.480773,1
2014,6023001200,40.757253,-123.848422,1
2014,6023010101,41.078429,-123.690713,1
2014,6023010102,41.175645,-123.737654,1
2014,6023010200,41.133787,-124.064208,1
2014,6023010900,40.507953,-123.886805,1
2014,6025010100,33.165447,-115.513963,1
2014,6025012301,33.102016,-115.950738,1
2014,6025012302,33.311063,-115.961524,1
2014,6025012400,33.054919,-114.992495,1
2014,6027000500,36.922543,-118.172303,1
2014,6027000600,36.302963,-117.920357,1
2014,6027000700,36.037118,-116.173275,1
2014,6029003302,34.927404,-119.08107,1
2014,6029003700,35.366286,-119.364396,1
2014,6029004500,35.655707,-119.774549,1
2014,6029005201,35.660436,-118.667837,1
2014,6029005504,35.176752,-117.796019,1
2014,6029005506,34.892813,-118.326169,1
2014,6029005600,35.011552,-117.664891,1
2014,6029005800,34.862399,-118.169935,1
2014,6031001601,36.031834,-119.851424,1
2014,6031001701,35.951781,-120.071974,1
2014,6031001702,35.969181,-120.120045,1
2014,6035040100,40.913032,-120.817959,1
2014,6035040200,40.50721,-120.951311,1
2014,6035040400,40.383017,-120.413287,1
2014,6035040600,40.080182,-120.135275,1
2014,6037599100,33.023688,-118.572689,1
2014,6037900101,34.613286,-117.834148,1
2014,6037900102,34.682324,-117.770241,1
2014,6037901203,34.769794,-118.529691,1
2014,6037901204,34.674251,-118.409104,1
2014,6037901206,34.610587,-118.396273,1
2014,6039000105,37.193824,-119.812556,1
2014,6043000200,37.70241,-120.164099,1
